,Reviews
762,"Game of Thrones is a great series to follow up, specially when it highlights the importance of our past and history. The character engage and show how the settlement and growth of the ion throne is caught. The lifestyle stands in the evolution. The royalty of the movie is well done how it shows the social stratification. At the end my rating is 10/10 and would tell the director and actors to keep up the good work from Canada. The other thing i would like to point out is however game of throne does it , they make the series end with this feeling of you wanting to watch and want to wonder what will happen the episode after. They should correlate the kings like Khalisi with Joffrey. Seriously Jeffrey is such an character, which you really want to beat up and hate. They should've not killed the lord at the beginning because the lord dragged me to watch this movie. That scene was not fair at all. and also the Son of the lord and the wife of the lord. They should've kept creating more troops and army to takeover and make the Lanisters suffer. I really wonder which time period does this movie aim at, and also they should really have a better sense of geography. locations are very important, and that is barely shown in the movie. The movements are very important. and it's very hard to find out.

Thanks

Great series to watch. One of my favourites."
763,"Game of Thrones is a must see for fans of all genres, especially those of Fantasy, Adventure and well directed Dramas. If you are a fan of titles such as Lord of the Rings or Spartacus then I would recommend for you to watch this even more as it is essentially a mix between the two just with more drama and even better written dialog.

The show contains a great amount of incredible acting from new actors and ones you may have already heard of. Their performance however is greatly aided by the fantastic writers who make the show very excitable and thrilling.

So grab your popcorn and beverage friends as you get ready to watch one of the best shows ever to be produced and shown on television."
764,"This series got it all, every episode you don't know what's going to happen. The acting is great the Visuals are outstanding and more. You hate ore you love a char. somethimes you hate one at first and then it turns that's a great experience. You never get borred because thare a lot of plots and a lot of char. and every year you got a new char. The fights and the sneaky plots i love the most but every one can see that it's much more than only that. I hope they can keep me surprise every time with something that happens wat you don't expect. I hope they can keep it up. I read the books and it's really interesting to see wat the differends are with the books and the TV series. There are a few things differend but it doesn't bother my (normely it does). If you are twisting and turning to watch this show i you don't know yet i just say watch a few episodes and you will be hooked on this one. That's why i think this TV series is one of the best maby the best TV series ever !!! Can't wait for more of these TV series."
765,"I am out of words for this series. This is the best that was ever made and I am saying that after I have watched almost all of the high rated sitcoms. I loved FRIENDS but nothing come close enough to this George R.R. Martin masterpiece. It open your eyes and makes you realize the truth of Kingdom era in almost any part of the world. The world is full of shrewd, mean politics, people filled with lust and twisted loves. It may sound cynical to few but in spite of being classified as a Fiction, nothing can better depict the true human nature. I am loving this series so much that I started reading the novel from season 2 onwards and found that the book is even more intriguing than the series itself (as is the case with almost all of the great novels). Still I can't wait for season 3 and watching what I read in the book on the screen."
766,"Very pleased with the first season very like real life (ahaha)

Though this reminds me how sad this story was.

PROS The center of the book Tyron Lannister is a real HIT in the series CONS the wolves are more second world war German pets to me hope the dragons wil save the non-human reputation...

Hope the rest of the troup will keep on playing a few more seasons

Worst case scenario would be a success, with all of us waiting for the word the END written on paper in 2021

Or even worst, worst... audience failure...Martin commits suicide and a No End Book AWFUL !!!

Hail to the North !!!

With some chance, this could be the Harry Potter Saga for those over 30 with a princess in the foot and knight in the ankle.

Let's Enjoy what it lasts."
767,"After hearing a lot of hype involved with this recent new series that HBO released, I decided to check it out for myself. Having read the first two books in the series (Game of Thrones and A Clash of Kings), I was curious as to how true to the ""feel"" of the first book would transpose to ten 50-55 minute blocks. Like previous reviewers have noted, most attempts at visually bringing a book to life are usually met with dire results or fail to live up to expectations for the whole season. However, I can say with absolute certainty that this series has lived up to that hype and more.

Everything from the casting to the dialogue and non-verbal imagery to the set designs are spot-on to how Martin described each environment in his book. Sean Bean, Lena Headyey, Emilia Clarke, and Peter Dinklage, among the other fine actors, do a superb job of making their characters their own, especially Dinklage's portrayal of Tyrion (my favorite character of the book series so far). The environments capture the air of tense conflict as the story unfolds in each episode, and the dialogue, although not always delivered well with some of the characters, was refreshing to hear overall. It was nice to see each actor take their respective roles very seriously.

Some folks would complain about the amount of nudity, sexuality, and gore seen throughout the series. I respond by simply saying that they perhaps toned it down a bit from much of what is described in the books and that those folks should be grateful that they aren't visually representing the book in this fashion TO THE WORD. Still, this is a series for mature audiences and if sex, gratuitous violence, and bloodshed aren't your cup of tea, I would stay away from this series, both on HBO and in the books.

Overall, this is a great adaptation to George R. R. Martin's first book in his epic series and I cannot wait to see what they do for the next season's adventure ""A Clash of Kings."""
768,"George R R Martin, has done quite a job with his series of books, based around the 7 kingdoms and the fight for the iron Throne. All I can say is thank goodness HBO got the rights to film this and not a bunch of pansies who would have made this into a watered down shadow of it's rightful self. This is war, this is death, this is sex and violence and family feuds and long held memories. It is fantasy and drama and comedy and wine and song. I will admit the acting isn't always perfect, and the budget forbids grandiose battle scenes or a cast of thousands! But still Martin's vision shines through, the story is compelling to any fan of LOTR , you know who you are, it also appeals to any medievalists or people who dreamed of lands beyond this Earth. I am waiting the next season, and I truly hope this series gains in popularity and word of mouth until the whole saga has been translated onto screen. Down with the Lannisters!"
769,"After two years of waiting, GOT came with a mediocre opening to continue the disaster they made in season seven. The script and conversations between the characters was bad comparing to previous seasons, the green screen and visual effects specially when they ride the dragons was poor. Moreover, the soundtrack wasn't as good as it used to be."
770,"I prefer to watch series in one piece. It is nice to see how seies are changing and mostly getting better after 1 or 2 years. Thos was the case in GoT too. So I enjoyed the first seasons, especielly season 3 and 4 and maybe the 5th season also, I cant remember. Season 6 was a annoying, because the roles of men were ridiculous and there were so many women ruling and deciding. The reason is obvious, politics decides movies also, not logic of a story. It is so easy to get rid of a female enemy in a middle age setting: a man doesnt even need a weapon. I dont know, if I will watch the 7th season, probably not."
771,"Definitely one of the best fantasy series ever. I don't think I ever saw a better one. At least I can't remember a better one. I write this after the seventh season and it's still as good as the beginning. That's says it all. The acting is excellent. There are so many different characters, clans and families that it could be difficult to follow if you didn't pay attention. But all the characters are worth watching, every single one of them. And don't get too attached to a character because it could be over for him or her in any episode. Never saw so many main characters being killed or murdered as in Game Of Thrones. And that's a real good thing because there is always an element of surprise. In every season characters that you would think will survive die. The battles are epic, the story could go in any direction anytime. Betrayals, violence, conquests, incestuous affairs, the show has everything. I'm a devoted fan, so devoted I already have three tattoos about it. House Targayen rules!"
772,"It's an amazing show filled with great scenery and characters alike. The plot is realistic while still being fantasy.

These last seasons are rushed but they're still brilliantly done in terms of costume and action.

Yes the show is brutally violent but, it's fantasy plus, the medieval ages weren't elegant times anyway. Even today it's pretty violent.

Excellent show, a must watch!"
773,"Saying it's the greatest show in the world, is an understatement to this masterpiece show by HBO. Everyhing from the writing to production and visuals are just amazing and unlike anything you have seen before.

Great quality through out the series, with amazing plot twists and character deaths that is impossible to predict. Truly the best show that has ever been made. All thanks to the amazing geniuses involved."
774,"When Game of Thrones first came out in 2011, I was the first to pay for HBO when it came with my Fios ultimate package and have never missed an episode since thanks to DVR and on demand showings of the show. Sometimes I even fall asleep watching it first run and watch it again. The show is one of the best on TV, being better than any movie blockbuster out there. The first few seasons are based on the best selling books by George R.R. Martin, with future seasons borrowing elements from the last few and upcoming books. It's a shame that this season and the next, which will air in 2019, will be short yet satisfying. Game of Thrones is to HBO what The Walking Dead and Breaking Bad is to AMC and The West Wing is to NBC; great television that will be talked about in the water-cooler for years to come. Winter has been here for seven and eight seasons and will last forever."
775,"I'm a big fan of the work, read all the books of A Song of Ice and Fire and come here to make a brief review of what I think of the series.

The first season was very good (maybe because I had not read the book and everything was new), but from there, the producers began to change and omit details not so important, but with no need.

The actors and scenery were well chosen, I feel the show when I'm reading the book and vice versa.

Although the median score, the work deserves a production height, the height on a budget, of course this show was a good start, but I cheer that it won't be the definitive work.

In short, 10 for the books, 7 for the show."
776,"This show is probably one of my favorite shows of all time. I even started reading the books and guess what! The show is almost completely identical. I don't know what people are talking about when they say it is leaving out a lot of stuff. Yes, there is stuff being left out but stuff that is not really necessary to put in the show.

Also, a lot of people are saying this show has way too much sex and I don't know what they are talking about. You want to see a show with a lot of sex? Watch Spartacus. That is a show with a lot of sex and it is way more graphic.

The story is amazing. It puts you on edge and always makes you wonder what is going to happen. The characters are really well written and the actors they chose for them are perfect.

I just think a lot of people are uncomfortable with sex and violence. If that is the case, this show isn't for you. If you don't mind seeing some sex scenes, a few disturbing scenes(one?), fantasy, amazing character designs, and amazing cinematography then this show is perfect for you. I love it and I think it is amazingly written.

I am just going to say again, THIS SHOW IS NO WHERE NEAR PORNOGRAPHY."
777,I finished in episode 3 of season 1 because this show sucks
778,"The reason people are giving this series so many stars is because of the sex scenes. That's all people care about this day. People being naked, people having sex, and killing. You don't have to have all of that in a show to make it good. If you want to watch people having sex or nudity then watch this show, but I don't recommend it for people who love their families and actually care about what they watch. And I don't need to see the series to know this."
779,"By far Got is the most amazing series i've ever seen..The plot is so well-played and the characters are so incredible actors/actresses!!! I am surprised by the customs, the scenes, the graphics...I hope this show continue entertains us with the amazing way it does...I highly recommended it to all those people who are in love with agony...It is just perfect!!!"
780,don't waste another second go and watch it HBO's epic hit fantasy is the best show I've seen take it show by which I mean 2 seasons a day only 60 episodes and season 7 comes July 17th at 9 pm British standard time any character could die at any given moment my personal favourite of the show is Daenerys or Robb stark I've watch the whole series and if you get the chance read the books they are just as good
781,"First of all, hats off to George R. R. Martin who created this amazing imaginary perfect world and to the show-runners David Benioff and D. B. Weiss for making us able to live the epic events of this world through the screen. It's hard to find something that could beat the intense of this TV show. If you're a fan of the fantasy genre, believe me you don't wanna miss this. With its horror of telling the story of a brutal world where you can barely survive in, with its mind blowing plot twists and turn of events, game of thrones has earned the hype. I recommend it so badly, go for it guys, you cannot afford to miss it."
782,"With out of doubt, this is the best show that has ever been and ever will be. The writing, acting, directing and so on. Everything about it is just to good to be true. This show is a masterpiece sent from heaven for us to see.

Great music, visual effect and lots of great dialog, twist and turns and battles. HBO is known for making the best dramas in the world and this is the best it can get. Not a dull moment in the series, every single scene is amazingly written and performed by the wonderful actors.

Can't wait for upcoming spin offs HBO are working on. Best show in the world, no doubt."
783,"You want The Throne ? You don't have to fight for it. You have to play a game - A Game of Thrones. Written by George R.R. Martin, this one-of-a- kind series has all you will want - action,adventure,philosophy,fantasy,supernatural,horror, it has it all. If you say you watch series but not Game of Thrones, you have never really watched a true one..."
784,"This show is very good, though it needs some better writing - esp. in S7. Production should get its stuff together - molten gold is WHITE hot! I don't care if it is cheaper to use yellow water! Get this common trope trope out of fantasy (molten copper /alloys/ that is ready for casting is another example)! The fight scenes need some expert advise. The main cast needs archery lessons. The extras shouldn't throw their punches into thin air. Yes, nice locations and that... but yellow water - ""Dothraki gold"" ruins that for me.

I want slight reduction of on-screen brutality and more non-sterile nudity/sex instead."
785,"Intense and interesting chapter, not as spectacular as the previous one. In this one. Daenerys after fierce ultimatums (that are resolved by eliminating everybody who opposes her will), she realizes that you can not go through life asking everyone to bow before her. Cersei intends to match the number of dragons with own sons and in front of the whimsical Daenerys a Jon Snow too humble and soft; it is a shame the loss of some characters like Leena Tyrell."
786,"GOT has been consistently good from the start. It is proof positive that heroic fantasy (or Sword & Sorcery) can be mature entertainment without descending to a Xena-like result.

Midway through the third or fourth episode I suddenly realised that one of the genre's icons, none other than Conan of Cimmeria, would benefit from the GOT treatment. Conan, woefully misrepresented by a certain Mr Schwarzenegger, really needs to find a new audience and a regular show might be just the ticket.

Come on Robert E Howard's estate - make it happen.

Anyone else agree?"
787,the best of the best game of thrones i wish the directors to make another serial like this it is a wonderful an epic we hope to have a good end to make us happy and not to make us wonder and not to live us with a questions i have already look the serial tree times you are never boring to watch it
788,"This is the most fascinating show for ever. No need to say much about this show, many have spoken already. It is just to say, me too participated in the review.

Continuous Thrill, Surprises and the most haunting question is ""Who is Next""!!! It is certainly not the show to watch with family members except wife, but brothers with brothers n sisters with sisters. Off-course with friends, it is an ultimate entertaining.

Every thing in this show, Action perfection, themes, scenes, script phrases, quotes... Especially every scene of IMP made me to glow to this show. He is the real hero of this show."
789,"If you are looking to watch a quality T.V. show with good acting, great screenplay, and amazing scenes with detailed character, well, you have come to the right place.

This show has you follow multiple people per episode so it isn't set to just one person or place. You follow very well thought out characters across a world with two continents and many different kingdoms, hence ""Game of Thrones"".

Many different characters come and go so you will always being on the edge of your seat seeing who lives or dies. Some of the episodes end abruptly which leaves a cliffhanger for the next episode which makes you want to watch even more.

Next to the interesting plots and characters, there is a vast amount of blood, murder, sex, nudity, and witchcraft to keep you entertained. Although this is not the entire show, these all make a broad statement when watching.

There are very little, if any, television shows that amount to the level of ""Game of Thrones"". 10/10 would recommend to anyone."
790,"They say Great things come in small packages and in the case of Peter Dinklage that could not be more true, every small nuance of Peter Dinklage in games of thrones is nothing short of Genius actor who can capture the moment and make me appreciate the art of role playing, the cast is very talented but i was hypnotize by his role and the way he carry out the story line ,not many people can understand the difficulty of casting a serious role due to his measurement but for me he is the tallest actor in the cast and the one who i enjoy the most. i thank the production for casting him and i hope to see more of this little genius on the big screen.

best regards Ilan more"
791,"awesome series i have ever watched The series is set on the fictional continents of Westeros and Essos and interweaves several plot lines with a large ensemble cast. The first narrative arc follows a dynastic conflict among competing claimants for succession to the Iron Throne of the Seven Kingdoms, with other noble families fighting for independence from it; the second covers the attempts to reclaim the throne by the exiled last scion of the realm's deposed ruling dynasty; the third chronicles the rising threat of the impending winter and the legendary creatures and fierce peoples of the North. Game of Thrones has attracted record numbers of viewers on HBO and attained an exceptionally broad and active international fan base. It has received widespread acclaim by critics, particularly for its acting, complex characters, story, scope, and production values, although its frequent use of nudity, violence, and sexual violence has attracted criticism."
792,"I was blown away by this show from start to finish. I couldn't believe how rich and spectacular the visuals were, how first-rate and technically marvelous the entire production was. But as much if not more so than the production itself, the intricate story lines and deeply complex characters make this show how deservedly popular and lauded it is. Rarely has there been a medieval, fantasy epic this rife with feeling, passion, betrayal, slaughter, and downright twists and turns. With a terrific ensemble cast and special effects that make the most expensive Hollywood blockbusters look unimpressive, ""Game of Thrones"" has left its mark on the zeitgeist as the show to beat in television history."
793,"I understand that George R. R. Martin based ""A Song of Ice and Fire"" on various and sundry wars and conquests throughout Europe's history. Indeed, the characters on ""Game of Thrones"" seem to have no aim except to fight for control of Westeros. It is as though their quest for prestige has become an excuse to spend eternity fighting.

I should note that this show is not for children. It's one of the most violent shows that I've ever seen. Seriously, they leave little to the imagination. I've never read the books on which the series is based, but the series doesn't dumb anything down (understanding of course that it's fantasy).

Having just binge-watched the first season, I recommend the show. Really impressive."
794,"As I await season 3, this show has been posted as the 'top user rated TV series of 2012' while I thoroughly enjoy most episodes I have found one thing in particular lacking... meaningful battle scenes.. we have seen armies sweep across the fabled land of Westeros while rarely seeing them draw a sword in anger, this show is in effect a 'medieval' soap opera with occasional glimpses of the real action, my main issue with this is that the program demands more action and on a much grander scale and in reality it pretends to have these set pieces in abundance which is a little bit of hype on the part of the producers. Anyone who wants to see epic battle sequences will be bitterly disappointed. I can only hope that in this coming season we will actually see more of these 'wars' played out on the battlefield rather than focusing completely on the aftermath of battles or the reactions of various noblemen."
795,"Seven noble families fight for control of the mythical land ...

Filmatic medieval-like TV series, with high production a values and quality acting.

Despite some seemingly inconsistencies with the language in the script the characters are finely portrayed. The lead cast are an array of familiar faces from both TV and film, a mix that has become synonymous with TV series recently, Game of Thrones includes Sean Bean and Lena Headey to name a few. Notable is actor Peter Dinklage who wonderfully portrays Tyrion Lannister. The characters are shades of grey, the story is vast and bravely take it's time to unfold probably thanks to George R.R. Martin's novel source material.

The locations, costumes and set are fantastic and capture both the richness and squallier of the fictional period creating an atmosphere you can taste and feel.The bloody and gritty first episode successfully set the tone for the series. Game of Thrones is certainly a milestone in TV entertainment."
796,"I have watched every episode of this intriguing, beautifully done series. I am very impressed with the top quality acting that comes across with every person in the series. I am particularly fond of Peter Dinklage and Jack Gleeson (King Joffrey). They are definitely a notch above spectacular. Jack Gleeson should become famous after this show, this kid is extremely talented. He is playing his bad guy part to the hilt. I put him in the class of Jason Issacs of Braveheart and Alan Rickman as Sheriff of Notingham in the Kevin Costner Robin Hood movie. He does such despicable acts with the glee and enjoyment much like Alan Rickman. I would love to see him do many different roles, to display talents for all types of films. Good luck to you, what a future you have Mr. Gleeson."
797,"This series has a story that unravels piece by piece, and gives time for the characters to develop and show their acting! The actors excel in every scene and the story keeps you glued to the TV. It is really the best series i have ever seen, it has action and the storyline is great. It's difficult to describe how good it is, the scenarios are deep and bring us to forget day to day life. It is way better than a Lord of the Rings version series, it's story is richer and more compelling, has less action, but it's story compensates. I compare it with Battlestar Galactica or Stargate Atlantis, that were well written and produced, but i think this one could be better. Pros: Actors, Storyline , well produced, action! I think the producers prove themselves as genius not in movies but only in series, as it is a lot more difficult to keep a great audience for a long time, and this one could be one of those!!"
798,"It contains sex,war and all the primitive stuff that attracts us.But it also contains culture,intelligence,fantasy,psychology,mind games,and everything that makes a film great.Thank you producers!This is the kind of movie that pulls you out from the outside world deep,deep into the fantasy.During the 60 minutes that it lasts,you will not think of real life problems or something else.It is beautiful,thank you!"
799,"I was looking forward to the new HBO series ""Game of Thrones"". I have been disappointed by Camelot and have missed the boldness of Spartacus. I am a huge fantasy and period piece fan and had high hopes for this fantasy, since I was told it had great characters and great scope. I am also a fan of Sean Bean for his LOTR's portrayal of Boromir and other movies. I've tried to get into this series but I just can't. I don't understand how any of these people have survived; they just go around killing each other. No one is smart except the dwarf and Dean's youngest daughter but alas the dwarf has become just another repetitive idiot and the little girl is a minor character that you hardly ever see. It's just not an interesting story. I bought the book which I might read. Maybe the written story will be better. This is a real disappointment for a fan of history piece and fantasy. There is not fantasy in it just endless people looking ugly and sad.3/10"
800,"First 4 seasons were amazing, seasons 5 to know Simply suck and it almost looks as if they only do fan-service story lines. First 4 seasons a solid 9/10 after that a high 3/10. All in all a 6/10."
801,"This show got me sitting for a whole day on a chair my PC before me without taking my eyes off of the screen until i finished the 6 seasons in just a week.i enjoyed it,i enjoyed every episode,every season,every scene,every part of it. okay now i gotta mention the one thing that got me in awe,and it was the acting,the great performance and the getting fully into the character. after that,comes the scenario which is based on the books written by George R.R Martin and i haven't read them but i bet they were real page turners. the scenario couldn't be better, the dialogues mixed with a little bit of drama and theater ,which made it look perfect. in a brief conclusion,it is the best show i've ever watched until now. so for those out there who didn't have the chance to watch it,just get it done already,i promise you won't regret. PS:if you are a student and you're willing on going for it,just make sure you don't have any exams coming for a week or so.just saying...."
802,"I have read the books and looked forward to the series. George RR Martin was a recommendation of a friend of mine along with a woman named Hobb. Hobb had to wait due to the immediacy of my addiction. I was somewhat let down in the first episode. Now I can say nothing more than: so far, it is merely watchable. The books sucked me in and held me due to the amount of detail and immersion in the storyline. The characters came to life, leaving you wanting more and more. This series lacks the character development needed to achieve the same effect. I hold hope that once the cast are at war and the starks and cohorts are on the move, things will pick up, but I grow more and more skeptical. The imp is spot on, though. I think if they played the book out a bit more on film, they would have an epic."
803,"One of the best TV serial in Hollywood history. One of the best thing in Game of thrones is they have only 10 episodes per season (except Season 7&8). A year of waiting for each and every season, its really thrilling experience. Game of thrones: 1- Best casting 2- Best Making 3- Best CGI and VFX 4- Best THEME Music (Title card) 5- Overall Best TV serial history.

When u r waiting for the next season, everyone those who read Book make theories for the next episode, it is really interesting ... kind of made everyone happy, especially when Jon Snow died and came back to life.. :)

When u heard last season will take two years to telecast, that's the real pain. :("
804,"Maybe. This Show is amazing (except for Bran's storyline which is just rather boring) but I ignore that because the rest of the show is fantastic. There is a beautiful mix between violence, intrigue, story, and a little humor. I have never felt a real hate for anybody in any film medium as I have whilst watching this show, and I have never felt as much stress and been on the edge of my seat as I have during this show. Even the fourth and fifth seasons (which weren't as good as the others) were better than anything else I have watched. With the film industry going downhill, it is refreshing to see that television is getting better and better. And this show is at the forefront."
805,"Total snoozefest. Utterly boring and a waste of acting talent, set design, music...etc. Here's a little secret on how to watch this series: Watch the first 2 minutes where they explain what happened in the previous episode. Fast forward to the final 10 minutes (it's the only part of the show where anything happens) and watch the final 10 minutes. Rinse and repeat. I plan on watching every episode in one sitting. Should take about 2 hours."
806,"I've seen 5 episodes so far and I'm contemplating on giving up.

I mean this series is just boring. It's the same thing chewed over and over again.

Each episode has some brutal fighting with someone beheaded or loosing their eye before dying. It looks like an awful clone of MK fatalities. Then out of the blue there's sex and swearing. I mean, What the Freak?!!! What makes you people rank this 9.5 of 10? IT IS LOUSY AND PATHETIC... I'm sorry, this series just sucks... The only thing worth of watching is the midget guy. I don't really remember his name but I've been admiring him since the infamous ""In Brugges"" and his ""... There's war coming. ... And you won't have to pick a side..."""
807,"People brainwashed, so watching every popular thing. Popular in 2010-2019 = trash."
808,"This show is a thrilling roller-coaster ride, with so many twists and unexpected events.

Every episode brings something new to the table and it is so good. To anyone waiting out on this show... Go watch it. Believe me it's worth it.

I cant wait to see what the rest of this show brings! My score for Game of Thrones: 10/10"
809,"With many shows and movies about post-apocalyptic futuristic societies, George Martin's Game of Thrones is a refreshing change. It is a stunning mix of fantasy, drama, and medieval warfare. The book series turned TV show is truly audience engaging with its great cast, attention to fine details, and suspenseful storyline. The cast of a show either makes or breaks it, in Game of Thrones the cast definitely makes the show. Before the end of the first episode, the audience can't help getting attached to certain characters and hating others. One character that the audience can't help but hate is Prince Joffrey, who attacks a helpless boy who is pretend sword fighting. After Joffrey gets hurt he has his father, the King, order to have the boy killed. A character that viewers can't help but love is Arya, the daughter of the King's best friend. Arya doesn't follow the social norms set for girls, she wants to learn how to fight, be rough, and ride horses like her brothers. When caught pretend sword fighting with her friend she fights back against the Prince not caring about his status. Jack Gleeson and Maisie Williams bring these characters to life. Without the amazing actors and cast there wouldn't be a huge following of the show, which includes over seven million people who watch the show just on TV not including those who watch online. The details are an important part of any book, movie or show. This show is no different because there are so many small details that could easily be forgotten. One would think that the style of clothing, type of armor, or even silverware used to eat wouldn't make a different in watching the show, but it truly does. The clothing distinguishes the poor from the rich, and those who live in warm climates in the south from those in the north in the cold. The armor displays that someone is a knight, or a war soldier. The silverware exhibits financial status. Each noble family in the kingdom has their own personal symbol, and when they travel or go to war, flags with the symbol are carried with them. These details didn't come without extreme cost .When watching it is easy to understand why it costs over five million dollars to film each episode. It probably would have been easier to film in front of a green screen, but that would have taken away from the authenticity of the story. The show is filmed in authentic locations all around Europe from Iceland, Spain, Croatia, Ireland, to Malta. When reading a book or watching a movie, it is usually easy to predict the ending. It often times ends when the boy gets the girl and they live happily ever after. This does not happen in Game of Thrones. All sixty minutes of each episode is action packed. It is nearly impossible to predict a certain character's fate because of the action packed scenes and suspense, even if they seem like a main character. When watching the audience can't help but sit on the edge of their seat not knowing what's going to happen. When past events are tied to recent event, it creates a ""ah ha"" moment that helps viewers understand a certain character's actions in the past. What makes Game of Thrones great is that it is truly unique, with the use of mystical animals. However, a comparable show is Vikings, in both shows the goal is to become King by overcoming numerous obstacles. If you're looking for a show that is action packed, and full of suspense then Game of Thrones is the show for you. Full of great actors with whom the audience can't help but form an emotional attachment to. The attention to fine details creates a sense of authenticity of how the people in the kingdom live. A major point to consider when watching is that no one is ever safe. It never turns out the way the audience anticipates, the future can never be predicted. It will leaving you with a cliffhanger ending."
810,"First of all I would like to say that I have not read the book so how much it stays true to the books is not something I have considered. With that being out of the way I am a huge fan of fantasy stories, mostly high fantasy but also low fantasy.

Game of Thrones although considered high fantasy feels a lot like low fantasy in the sense that it is not so much about fantasy creatures such as dragons and orcs, although those do exist, but rather much more about political intrigues of various powerful families and in that sense reminded me more about medieval times and how the monarchies fought each other.

However Game of Thrones is set in an imaginary world and definitely has supernatural elements so in effect it could be the perfect mix of fantasy and realistic story. And although the series is quite good I feel it falls short in two key areas.

One is that it often feels anti-climactic. Many of the important key plots are often concluded in a very short time, after a very long and slow buildup, which for me has left me quite unsatisfied. I can't go into details as that would be a spoiler but let's just say that there are things that you have waited for the entire season, just to finish quickly and with a whimper rather than a bang.

The second key area where it fails are the battles. Most of the them situations are resolved very quickly and in many times not even shown at all. Rather it is built up slowly, sometimes over several episodes, and once it actually happens you don't see anything! Rather it is just explained, after the fact, what the outcome was. I think, after watching three seasons, I saw one battle which was satisfying to watch and even that comes nowhere near the epic battles of movies like Lord of the Rings or even Spartacus (the series).

And for a fantasy story, be it high or low, it is inexcusable to have such poor battle depiction and the main reason why I scored it a 7 rather than a 9."
811,I have never been so obsessed with a show and characters in my LIFE until I started watching game of thrones. And discovered the massive crush I have on Emilia Clarke. 😂😂 but it is really amazing! Don't trust the bad reviews.
812,"Cant deny it, this is the only show that are watchable eventhough some of it episode look boring, but everything is very highly quality from the cast performance, storyline and the special effects. Highly recommend for someone who not watch this yet. Warning; not suitable for children as it has a highly violence scene."
813,"If you haven't seen Game of Thrones, you are denying yourself the opportunity to watch one of the greatest shows ever created. It tops everything, in my humble opinion, and is a masterpiece."
814,"Game of Thrones isn't about good people fighting bad people. Its about individual human hearts. so many character you can choose to be your main/fav character, depends on your perspective. This is the abnormal way to feel and enjoy a flim."
815,"If you have a job, school,..... then don't watch this TV show, simply it will take your mind away, you will have a headache from the greatness of the performance, it will take you heart, it will make you love the historical art and tha fantasy movies, tv shows. It is perfect for the beginners or regulars viewers, it will teach him/her how to review or judge on the performance. This tv show is a mentor to the seventh art."
816,I was late on the scene to watch game of thrones. But one episode in and I couldn't stop. I watched all seven seasons in one hit and having withdrawals waiting for the next to air. It's fantastic to say the least.
817,"I am writing this because according to the IMDB User Ratings, I have not commented. I have reviewed all the individual episodes, but not the show as a whole. There is little that I can add to the impact of this show. I am proud to be on the same planet as those who created and put this work into fruition. When one looks at the technical accomplishments and the multiple plot strains that have been kept in balance, it is truly a wonder. I know that there are those who can never get past the ""book did this"" and ""the book did that."" We have to come to realize that it is impossible to recreate every nuance that fiction allows and that occasionally characters must be dropped and events assumed. For me, I have approached these as the artistic creations they are--as film (and television, at that). I have the books. I've not read them but plan to at some point. I doubt at this late stage of my life there will ever be another series to match this. I like fantasy but am not ruled by it as a genre. But this is for us all. If you've not seen it, treat yourself."
818,"It is such a beautiful and uplifting twist seeing Jon Snow coming back to life! It is getting more exciting and really can't wait for more episodes. The strong characters of every individual role complement each other which will hook you up till the end. Jon Snow is the hot topic at the comeback of Season 6. He's presence making a positive view from the audience. His vital contribution to the whole story is really needed and you can't get him out.

The fact that the previously very-dead Jon Snow is now very not-dead on Game of Thrones is perhaps one of the worst kept secrets in the show's six-year history. But that didn't stop the production team from trying to keep his return under wraps—and they went to some pretty crazy lengths to do so, like banning his name.

Game of Thrones is now getting powerful, vibrant, exciting, and the game is always on!"
819,"Game of Thrones!!! Loosely based on the English War of Roses, writer Martin added many outside elements to create an awe-inspiring fantasy series. His books were adopted into TV series.

It is the political story about an in-power family and other noble families in the fantasy land of Westerros to control the continent.

This series is full of twists and turns and it is hard to fit this in a particular genre. Many moves were not on the expected lines with new surprises in every episode.

The directors leave each and every season at cliff hangers and audience has to wait almost an year to know the fate of their favorite characters.

It hold an IMDb rating of 9.5 as of now (End of Season 5), which by no means a smaller achievement. The rating it hold in IMDb tells it all!!!"
820,"When I first heard about GoT, I had no idea what I was getting myself into. I hadn't previously read the books, so I knew nothing. (lol) With that said, GoT blends fantasy, action, sexuality, and a little comedy here and there. As the seasons progress, the series leans mostly toward the darker side. But never-the-less, the series is definitely one to check out! Think Lord of the Rings but on a much larger much more in-depth scale.

I will say that the violence and sexuality should be noted. GoT holds nothing back, and you will be submersed in a world of no shame or modesty.

That aside, the first season focuses mainly on one family, but eventually more characters come, and the story begins to follow several different stories in several different places all at once by bouncing back and forth, just like the book.

The story can sometimes be difficult to keep up with, with the amount of story change, and 'back and forth'-ness. This would be the only real downside. The situations each character is faced with, the action, costume and set designs, the acting, and of course the landscape all make up for that! You will be at the edge of your seat through 98% of the series, and when the season is over you will go through GoT withdraws as you beg for more!"
